frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.340000,0.000000,18.330000,0.000000,0.000000,8.400000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000300,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,892.589966,0.000000,0.140000,78.759995,-0.500987,0.501006,-0.498991,-0.499012,0.041300,0.000000,-0.000400,0.000000,-0.010000,1049.069946,0.000000,-9.389999,143.080002,-0.000100,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
2,False,False,1.000000,0.100000,0.000000,3.010000,891.579956,0.000000,0.130000,73.889999,-0.501160,0.501177,-0.498818,-0.498840,0.053100,0.000000,-0.000300,0.000000,-0.130000,1059.989990,0.000000,-9.380000,137.619995,-0.000202,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
3,False,False,1.000000,0.100000,0.000000,3.010000,891.889954,0.000000,0.120000,69.019997,-0.501305,0.501321,-0.498673,-0.498694,0.064700,0.000000,-0.000200,0.000000,-0.220000,1062.679932,0.000000,-12.679999,173.919998,-0.000305,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
4,False,False,1.000000,0.100000,0.000000,3.010000,892.419983,0.000000,0.110000,64.150002,-0.501462,0.501481,-0.498511,-0.498538,0.076000,0.000000,-0.000100,0.000000,-0.330000,1064.079956,0.000000,-12.670000,168.449997,-0.000407,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
5,False,False,1.000000,0.100000,0.000000,3.010000,892.909973,0.000000,0.100000,59.279999,-0.501640,0.501668,-0.498327,-0.498354,0.087100,0.000000,0.000000,0.000000,-0.440000,1065.439941,0.000000,-18.260000,231.059998,-0.000510,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
6,False,False,1.000000,0.100000,0.000000,3.010000,893.359985,0.000000,0.090000,54.410000,-0.501845,0.501870,-0.498122,-0.498149,0.098000,0.000000,0.000000,0.000000,-0.590000,1067.319946,0.000000,-18.250000,225.580002,-0.000612,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
7,False,False,1.000000,0.100000,0.000000,3.010000,893.769958,0.000000,0.080000,49.539997,-0.502071,0.502093,-0.497896,-0.497923,0.108600,0.000000,0.000000,0.000000,-0.740000,1069.150024,0.000000,-18.240000,220.099991,-0.000715,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
8,False,False,1.000000,0.100000,0.000000,3.010000,894.139954,0.000000,0.070000,44.669998,-0.502320,0.502336,-0.497648,-0.497675,0.119000,0.000000,0.000000,0.000000,-0.890000,1070.939941,0.000000,-18.230000,214.619995,-0.000817,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
9,False,False,1.000000,0.100000,0.000000,3.010000,894.469971,0.000000,0.060000,39.799999,-0.502589,0.502601,-0.497378,-0.497405,0.129200,0.000000,0.000000,0.000000,-1.040000,1072.679932,0.000000,-18.219999,209.139999,-0.000920,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
10,False,False,1.000000,0.100000,0.000000,3.010000,894.760010,0.000000,0.050000,34.930000,-0.502875,0.502891,-0.497087,-0.497113,0.139200,0.000000,0.000000,0.000000,-1.190000,1074.380005,0.000000,-18.209999,203.669998,-0.001022,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
11,False,False,1.000000,0.100000,0.000000,3.010000,895.010010,0.000000,0.040000,30.059999,-0.503183,0.503202,-0.496774,-0.496801,0.149000,0.000000,0.000000,0.000000,-1.340000,1076.030029,0.000000,-18.199999,198.199997,-0.001125,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
12,False,False,1.000000,0.100000,0.000000,3.010000,895.219971,0.000000,0.030000,25.189999,-0.503512,0.503533,-0.496439,-0.496466,0.158600,0.000000,0.000000,0.000000,-1.490000,1077.640015,0.000000,-18.190001,192.729996,-0.001227,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
13,False,False,1.000000,0.100000,0.000000,3.010000,895.389954,0.000000,0.020000,20.320000,-0.503857,0.503879,-0.496088,-0.496115,0.168000,0.000000,0.000000,0.000000,-1.640000,1079.199951,0.000000,-18.180000,187.259995,-0.001330,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
14,False,False,1.000000,0.100000,0.000000,3.010000,895.519958,0.000000,0.010000,15.450000,-0.504224,0.504244,-0.495716,-0.495743,0.177200,0.000000,0.000000,0.000000,-1.790000,1080.709961,0.000000,-18.170000,181.789993,-0.001432,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
15,False,False,1.000000,0.100000,0.000000,3.010000,895.609985,0.000000,0.000000,10.580000,-0.504607,0.504635,-0.495322,-0.495349,0.186200,0.000000,0.000000,0.000000,-1.940000,1082.179932,0.000000,-18.160000,176.319992,-0.001535,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
16,False,False,1.000000,0.100000,0.000000,3.010000,895.659973,0.000000,-0.010000,5.710000,-0.505011,0.505035,-0.494912,-0.494939,0.195000,0.000000,0.000000,0.000000,-2.090000,1083.599976,0.000000,-18.150000,170.849991,-0.001637,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
17,False,False,1.000000,0.100000,0.000000,3.010000,895.669983,0.000000,-0.020000,0.840000,-0.505432,0.505449,-0.494486,-0.494513,0.203600,0.000000,0.000000,0.000000,-2.240000,1084.979980,0.000000,-18.139999,165.379990,-0.001740,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
18,False,False,1.000000,0.100000,0.000000,3.010000,895.639954,0.000000,-0.030000,-4.020000,-0.505869,0.505887,-0.494038,-0.494065,0.212000,0.000000,0.000000,0.000000,-2.390000,1086.309937,0.000000,-18.129999,159.919998,-0.001842,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
19,False,False,1.000000,0.100000,0.000000,3.010000,895.570007,0.000000,-0.040000,-8.880000,-0.506322,0.506339,-0.493574,-0.493601,0.220300,0.000000,0.000000,0.000000,-2.540000,1087.599976,0.000000,-18.119999,154.459991,-0.001945,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
20,False,False,1.000000,0.100000,0.000000,3.010000,895.459961,0.000000,-0.050000,-13.740000,-0.506792,0.506805,-0.493094,-0.493121,0.228400,0.000000,0.000000,0.000000,-2.690000,1088.839966,0.000000,-18.109999,149.000000,-0.002047,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
21,False,False,1.000000,0.100000,0.000000,3.010000,895.309998,0.000000,-0.060000,-18.600000,-0.507277,0.507295,-0.492593,-0.492620,0.236300,0.000000,0.000000,0.000000,-2.840000,1090.039917,0.000000,-18.100000,143.539993,-0.002150,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
22,True,True,1.000000,0.200000,0.000000,3.010000,895.179993,0.000000,-0.310000,-15.200000,-0.507806,0.507823,-0.492048,-0.492075,0.256500,0.000000,0.000000,0.000000,-2.990000,1091.189941,0.000000,-18.090000,138.080002,-0.002252,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
23,True,True,1.000000,0.200000,0.000000,3.010000,895.079956,0.000000,-0.580000,-11.800000,-0.508372,0.508385,-0.491465,-0.491492,0.276300,0.000000,0.000000,0.000000,-3.140000,1092.299927,0.000000,-18.080000,132.619995,-0.002355,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
24,True,True,1.000000,0.200000,0.000000,3.000000,895.010010,0.000000,-0.870000,-8.400000,-0.508977,0.508989,-0.490839,-0.490866,0.295700,0.000000,0.000000,0.000000,-3.290000,1093.359985,0.000000,-18.070000,127.159996,-0.002457,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
25,True,True,1.000000,0.200000,0.000000,2.990000,894.969971,0.000000,-1.180000,-5.000000,-0.509619,0.509635,-0.490170,-0.490197,0.314800,0.000000,0.000000,0.000000,-3.440000,1094.369995,0.000000,-18.059999,121.709999,-0.002560,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
26,True,True,1.000000,0.200000,0.000000,2.980000,894.959961,0.000000,-1.520000,-1.600000,-0.510298,0.510313,-0.489464,-0.489491,0.333500,0.000000,0.000000,0.000000,-3.590000,1095.339966,0.000000,-18.049999,116.259995,-0.002662,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
27,True,True,1.000000,0.200000,0.000000,2.960000,894.969971,0.000000,-1.880000,1.790000,-0.511016,0.511032,-0.488714,-0.488741,0.351900,0.000000,0.000000,0.000000,-3.740000,1096.260010,0.000000,-18.039999,110.809998,-0.002765,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
28,True,True,1.000000,0.200000,0.000000,2.940000,895.010010,0.000000,-2.270000,5.180000,-0.511771,0.511781,-0.487926,-0.487953,0.369900,0.000000,0.000000,0.000000,-3.890000,1097.140015,0.000000,-18.029999,105.360001,-0.002867,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
29,True,True,1.000000,0.200000,0.000000,2.920000,895.079956,0.000000,-2.690000,8.570000,-0.512559,0.512565,-0.487101,-0.487128,0.387600,0.000000,0.000000,0.000000,-4.040000,1097.969971,0.000000,-18.020000,99.909996,-0.002970,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
30,True,True,1.000000,0.200000,0.000000,2.890000,895.179993,0.000000,-3.130000,11.960000,-0.513379,0.513383,-0.486238,-0.486264,0.405000,0.000000,0.000000,0.000000,-4.190000,1098.760010,0.000000,-18.010000,94.459999,-0.003072,0.000003,0.000003,0.999995,-0.024500,0.000000,0.000000
31,True,True,1.000000,0.200000,0.000000,2.860000,895.309998,0.000000,-3.600000,15.339999,-0.514231,0.514244,-0.485331,-0.485358,0.422100,0.000000,0.000000,0.000000,-4.340000,1099.500000,0.000000,-18.000000,89.009995,-0.003175,0.000003,0.000003,0.999995,-0.024500,0.000000,0.000000
32,True,True,1.000000,0.200000,0.000000,2.830000,895.469971,0.000000,-4.100000,18.719999,-0.515116,0.515128,-0.484393,-0.484420,0.438900,0.000000,0.000000,0.000000,-4.490000,1100.199951,0.000000,-17.990000,83.570000,-0.003277,0.000003,0.000003,0.999995,-0.024500,0.000000,0.000000
33,True,True,1.000000,0.200000,0.000000,2.790000,895.649963,0.000000,-4.640000,22.100000,-0.516033,0.516044,-0.483416,-0.483443,0.455300,0.000000,0.000000,0.000000,-4.640000,1100.849976,0.000000,-17.980000,78.129997,-0.003380,0.000003,0.000003,0.999994,-0.024500,0.000000,0.000000
34,True,True,1.000000,0.200000,0.000000,2.750000,895.859985,0.000000,-5.210000,25.480000,-0.516983,0.516991,-0.482402,-0.482429,0.471400,0.000000,0.000000,0.000000,-4.790000,1101.459961,0.000000,-17.969999,72.689995,-0.003482,0.000003,0.000003,0.999994,-0.024500,0.000000,0.000000
35,True,True,1.000000,0.200000,0.000000,2.700000,896.099976,0.000000,-5.810000,28.859999,-0.517959,0.517974,-0.481350,-0.481377,0.487300,0.000000,0.000000,0.000000,-4.940000,1102.020020,0.000000,-17.959999,67.250000,-0.003585,0.000003,0.000003,0.999994,-0.024500,0.000000,0.000000
36,True,True,1.000000,0.200000,0.000000,2.650000,896.369995,0.000000,-6.450000,32.230000,-0.518968,0.518976,-0.480266,-0.480292,0.502900,0.000000,0.000000,0.000000,-5.090000,1102.539917,0.000000,-17.949999,61.809998,-0.003687,0.000003,0.000003,0.999993,-0.024500,0.000000,0.000000
37,True,True,1.000000,0.200000,0.000000,2.590000,896.669983,0.000000,-7.130000,35.599998,-0.520004,0.520013,-0.479143,-0.479170,0.518200,0.000000,0.000000,0.000000,-5.240000,1103.010010,0.000000,-17.940001,56.369999,-0.003790,0.000003,0.000003,0.999993,-0.024500,0.000000,0.000000
38,True,True,1.000000,0.200000,0.000000,2.520000,896.989990,0.000000,-7.840000,38.969997,-0.521066,0.521073,-0.477989,-0.478016,0.533200,0.000000,0.000000,0.000000,-5.390000,1103.429932,0.000000,-17.930000,50.930000,-0.003892,0.000003,0.000003,0.999992,-0.024500,0.000000,0.000000
39,True,True,1.000000,0.200000,0.000000,2.450000,897.339966,0.000000,-8.590000,42.340000,-0.522156,0.522166,-0.476797,-0.476824,0.547900,0.000000,0.000000,0.000000,-5.540000,1103.809937,0.000000,-17.920000,45.500000,-0.003995,0.000003,0.000003,0.999992,-0.024500,0.000000,0.000000
40,True,True,1.000000,0.200000,0.000000,2.370000,897.719971,0.000000,-9.380000,45.700001,-0.523273,0.523280,-0.475572,-0.475599,0.562400,0.000000,0.000000,0.000000,-5.690000,1104.140015,0.000000,-17.910000,40.070000,-0.004097,0.000003,0.000003,0.999992,-0.024500,0.000000,0.000000
41,True,True,1.000000,0.200000,0.000000,2.280000,898.130005,0.000000,-10.219999,49.059998,-0.524417,0.524416,-0.474315,-0.474342,0.576600,0.000000,0.000000,0.000000,-5.840000,1104.429932,0.000000,-17.900000,34.639999,-0.004200,0.000003,0.000003,0.999991,-0.024500,0.000000,0.000000
42,True,True,1.000000,0.200000,0.000000,2.190000,898.570007,0.000000,-11.099999,52.410000,0.525577,-0.525582,0.473026,0.473053,0.590500,0.000000,0.000000,0.000000,-5.990000,1104.669922,0.000000,-17.889999,29.209999,-0.004302,0.000003,0.000003,0.999991,-0.024500,0.000000,0.000000
43,True,True,1.000000,0.200000,0.000000,2.090000,899.029968,0.000000,-12.020000,55.759998,-0.526769,0.526773,-0.471698,-0.471725,0.604200,0.000000,0.000000,0.000000,-6.140000,1104.869995,0.000000,-17.879999,23.779999,-0.004405,0.000003,0.000003,0.999990,-0.024500,0.000000,0.000000
