frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000
1,True,True,-1.000000,1.000000,0.320000,0.000000,17.049999,12.440000,-3.310000,8.360000,0.000003,0.008408,0.000003,0.999965,-0.001400,-0.001000,-0.082200
2,True,True,-1.000000,1.000000,0.420000,-0.030000,17.049999,24.799999,-6.540000,8.360000,-0.000003,0.008402,-0.000337,0.999965,-0.002000,-0.001400,-0.163000
3,True,True,-1.000000,1.000000,0.630000,-0.080000,17.049999,37.070000,-9.700000,8.360000,-0.000003,0.008397,-0.001017,0.999964,-0.002100,-0.001500,-0.242300
4,True,True,-1.000000,1.000000,0.940000,-0.160000,17.049999,49.250000,-12.799999,8.360000,-0.000003,0.008392,-0.002026,0.999963,-0.002100,-0.001500,-0.320000
5,True,True,-1.000000,1.000000,1.350000,-0.270000,17.049999,61.329998,-15.870000,8.360000,-0.000003,0.008386,-0.003358,0.999959,-0.002000,-0.001500,-0.396500
6,True,True,-1.000000,1.000000,1.860000,-0.400000,17.049999,73.320000,-18.920000,8.360000,0.000003,0.008381,-0.005009,0.999952,-0.001800,-0.001400,-0.471300
7,True,True,-1.000000,1.000000,2.470000,-0.560000,17.049999,85.209999,-21.959999,8.360000,0.000013,0.008375,-0.006973,0.999941,-0.001600,-0.001300,-0.544400
8,True,True,-1.000000,1.000000,3.180000,-0.740000,17.049999,97.009995,-25.000000,8.360000,0.000024,0.008370,-0.009239,0.999922,-0.001400,-0.001200,-0.615400
9,True,True,-1.000000,1.000000,3.990000,-0.950000,17.049999,108.709999,-28.080000,8.360000,0.000040,0.008365,-0.011801,0.999895,-0.001100,-0.001100,-0.684600
10,True,True,-1.000000,1.000000,4.900000,-1.180000,17.049999,120.309998,-31.199999,8.360000,0.000062,0.008359,-0.014655,0.999858,-0.000900,-0.001000,-0.751900
11,True,True,-1.000000,1.000000,5.900000,-1.440000,17.049999,131.800003,-34.389999,8.360000,0.000084,0.008354,-0.017789,0.999807,-0.000800,-0.000900,-0.817300
12,True,True,-1.000000,1.000000,7.000000,-1.730000,17.049999,143.169998,-37.660000,8.360000,0.000111,0.008348,-0.021194,0.999740,-0.000600,-0.000800,-0.880800
13,True,True,-1.000000,1.000000,8.190000,-2.040000,17.049999,154.429993,-41.040001,8.360000,0.000138,0.008343,-0.024862,0.999656,-0.000500,-0.000700,-0.942300
14,True,True,-1.000000,1.000000,9.480000,-2.380000,17.049999,165.559998,-44.529999,8.360000,0.000170,0.008338,-0.028784,0.999551,-0.000400,-0.000600,-1.002000
15,True,True,-1.000000,1.000000,10.860000,-2.750000,17.049999,176.569992,-48.149998,8.360000,0.000202,0.008332,-0.032954,0.999422,-0.000300,-0.000500,-1.059700
16,True,True,-1.000000,1.000000,12.330000,-3.150000,17.049999,187.440002,-51.919998,8.360000,0.000240,0.008327,-0.037367,0.999267,-0.000200,-0.000400,-1.115600
17,True,True,-1.000000,1.000000,13.889999,-3.580000,17.049999,198.179993,-55.849998,8.360000,0.000278,0.008321,-0.042012,0.999082,-0.000100,-0.000300,-1.169600
18,True,True,-1.000000,1.000000,15.540000,-4.050000,17.049999,208.769989,-59.949997,8.360000,0.000316,0.008321,-0.046878,0.998866,0.000000,-0.000200,-1.221700
19,True,True,-1.000000,1.000000,17.279999,-4.550000,17.049999,219.209991,-64.239998,8.360000,0.000359,0.008321,-0.051960,0.998614,0.000000,-0.000200,-1.272000
20,True,True,-1.000000,1.000000,19.109999,-5.090000,17.049999,229.489990,-68.720001,8.360000,0.000402,0.008316,-0.057252,0.998325,0.000000,-0.000200,-1.320500
21,True,True,-1.000000,1.000000,21.020000,-5.660000,17.049999,239.610001,-73.409996,8.360000,0.000445,0.008311,-0.062744,0.997995,0.000000,-0.000200,-1.367300
22,True,True,-1.000000,1.000000,23.019999,-6.270000,17.049999,249.559998,-78.309998,8.360000,0.000494,0.008305,-0.068431,0.997621,0.000100,-0.000100,-1.412300
23,True,True,-1.000000,1.000000,25.100000,-6.920000,17.049999,259.329987,-83.430000,8.360000,0.000542,0.008300,-0.074300,0.997201,0.000200,-0.000100,-1.455800
24,True,True,-1.000000,1.000000,27.260000,-7.620000,17.049999,268.919983,-88.769997,8.360000,0.000591,0.008294,-0.080348,0.996732,0.000200,0.000000,-1.497700
25,True,True,-1.000000,1.000000,29.500000,-8.360000,17.049999,278.320007,-94.349998,8.360000,0.000645,0.008289,-0.086568,0.996211,0.000300,0.000000,-1.538000
26,True,True,-1.000000,1.000000,31.820000,-9.150000,17.049999,287.509979,-100.169998,8.360000,0.000699,0.008284,-0.092950,0.995636,0.000300,0.000000,-1.576800
27,True,True,-1.000000,1.000000,34.219997,-9.980000,17.049999,296.500000,-106.239998,8.360000,0.000753,0.008278,-0.099489,0.995004,0.000400,0.000000,-1.614000
28,True,True,-1.000000,1.000000,36.689999,-10.870000,17.049999,305.269989,-112.559998,8.360000,0.000812,0.008273,-0.106178,0.994312,0.000400,0.000000,-1.649700
29,True,True,-1.000000,1.000000,39.230000,-11.809999,17.049999,313.820007,-119.129997,8.360000,0.000871,0.008268,-0.113008,0.993559,0.000400,0.000000,-1.684000
30,True,True,-1.000000,1.000000,41.849998,-12.799999,17.049999,322.139984,-125.949997,8.360000,0.000931,0.008262,-0.119978,0.992742,0.000400,0.000000,-1.716900
31,True,True,-1.000000,1.000000,44.529999,-13.849999,17.049999,330.220001,-133.029999,8.370000,0.000990,0.008257,-0.127078,0.991858,0.000400,0.000000,-1.748400
32,True,True,-1.000000,1.000000,47.279999,-14.960000,17.049999,338.049988,-140.369995,8.370000,0.001049,0.008251,-0.134301,0.990906,0.000400,0.000000,-1.778500
33,True,True,-1.000000,1.000000,50.099998,-16.129999,17.049999,345.619995,-147.959991,8.370000,0.001114,0.008246,-0.141638,0.989883,0.000500,0.000000,-1.807300
34,True,True,-1.000000,1.000000,52.980000,-17.359999,17.049999,352.929993,-155.809998,8.370000,0.001179,0.008235,-0.149088,0.988789,0.000500,-0.000100,-1.834800
35,True,True,-1.000000,1.000000,55.919998,-18.660000,17.049999,359.970001,-163.910004,8.370000,0.001244,0.008224,-0.156641,0.987621,0.000500,-0.000100,-1.861100
36,True,True,-1.000000,1.000000,58.919998,-20.029999,17.049999,366.729980,-172.259995,8.370000,0.001308,0.008214,-0.164296,0.986376,0.000500,-0.000100,-1.886200
37,True,True,-1.000000,1.000000,61.980000,-21.469999,17.049999,373.209991,-180.849991,8.370000,0.001373,0.008203,-0.172043,0.985054,0.000500,-0.000100,-1.910100
38,True,True,-1.000000,1.000000,65.089996,-22.980000,17.049999,379.389984,-189.690002,8.370000,0.001438,0.008192,-0.179877,0.983654,0.000500,-0.000100,-1.932800
39,True,True,-1.000000,1.000000,68.250000,-24.559999,17.049999,385.269989,-198.769989,8.370000,0.001508,0.008181,-0.187791,0.982174,0.000500,-0.000100,-1.954400
40,True,True,-1.000000,1.000000,71.459999,-26.219999,17.049999,390.839996,-208.080002,8.380000,0.001578,0.008170,-0.195781,0.980612,0.000500,-0.000100,-1.974900
41,True,True,-1.000000,1.000000,74.720001,-27.949999,17.049999,396.100006,-217.619995,8.380000,0.001648,0.008160,-0.203840,0.978969,0.000400,-0.000100,-1.994400
