frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000
1,True,True,False,False,0.000000,1.000000,0.360000,0.000000,19.580000,-1.350000,0.000000,304.009979,0.000003,0.008408,0.000003,0.999965,0.000000,0.000100,0.000000
2,True,True,False,False,0.000000,1.000000,0.350000,0.000000,22.150000,0.300000,0.000000,308.029999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
3,True,True,False,False,0.000000,1.000000,0.350000,0.000000,24.750000,-0.130000,0.000000,312.049988,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
4,True,True,False,False,0.000000,1.000000,0.350000,0.000000,27.379999,-0.010000,0.000000,316.070007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
5,True,True,False,False,0.000000,1.000000,0.350000,0.000000,30.049999,-0.050000,0.000000,320.089996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
6,True,True,False,False,0.000000,1.000000,0.350000,0.000000,32.750000,0.150000,0.000000,324.109985,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
7,True,True,False,False,0.000000,1.000000,0.350000,0.000000,35.509998,0.350000,0.000000,330.839996,-0.001330,0.008408,0.000013,0.999964,-0.319500,0.000000,0.005300
8,True,True,False,False,0.000000,1.000000,0.350000,0.000000,38.320000,0.550000,0.030000,337.570007,-0.003941,0.008408,0.000035,0.999957,-0.626200,0.000000,0.010400
9,True,True,False,False,0.000000,1.000000,0.360000,0.000000,41.189999,0.750000,0.120000,344.299988,-0.007777,0.008408,0.000067,0.999934,-0.920700,0.000000,0.015300
10,True,True,False,False,0.000000,1.000000,0.370000,0.000000,44.119999,0.950000,0.300000,351.029999,-0.012794,0.008408,0.000111,0.999883,-1.203400,0.000000,0.020000
11,True,True,False,False,0.000000,1.000000,0.380000,0.010000,47.099998,1.150000,0.610000,357.759979,-0.018939,0.008408,0.000159,0.999785,-1.474800,0.000000,0.024500
12,True,True,False,False,0.000000,1.000000,0.390000,0.020000,50.139999,1.350000,1.070000,364.479980,-0.026168,0.008408,0.000218,0.999622,-1.735400,0.000000,0.028800
13,True,True,False,False,0.000000,1.000000,0.400000,0.030000,53.230000,1.550000,1.700000,371.190002,-0.034438,0.008408,0.000289,0.999371,-1.985600,0.000000,0.033000
14,True,True,False,False,0.000000,1.000000,0.410000,0.050000,56.379997,1.750000,2.530000,377.889984,-0.043706,0.008402,0.000364,0.999009,-2.225800,0.000000,0.037000
15,True,True,False,False,0.000000,1.000000,0.430000,0.080000,59.579998,1.950000,3.590000,384.569977,-0.053929,0.008397,0.000450,0.998509,-2.456400,0.000000,0.040800
16,True,True,False,False,0.000000,1.000000,0.450000,0.120000,62.840000,2.150000,4.890000,391.229980,-0.065070,0.008392,0.000542,0.997845,-2.677800,0.000000,0.044500
17,True,True,False,False,0.000000,1.000000,0.470000,0.170000,66.159996,2.350000,6.460000,397.859985,-0.077084,0.008386,0.000639,0.996989,-2.890300,0.000000,0.048000
