frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,8.320000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000300,0.000000
1,True,True,-1.000000,1.000000,0.180000,0.000000,17.010000,12.400000,-3.380000,8.320000,0.000003,0.004815,0.000003,0.999988,-0.000900,-0.000800,-0.094500
2,True,True,-1.000000,1.000000,0.280000,-0.030000,17.010000,24.740000,-6.660000,8.309999,0.000003,0.004809,-0.000391,0.999988,-0.001400,-0.001100,-0.186000
3,True,True,-1.000000,1.000000,0.490000,-0.090000,17.010000,37.020000,-9.849999,8.309999,0.000003,0.004804,-0.001168,0.999988,-0.001700,-0.001200,-0.274600
4,True,True,-1.000000,1.000000,0.800000,-0.170000,17.010000,49.209999,-12.990000,8.309999,0.000003,0.004799,-0.002312,0.999986,-0.001800,-0.001100,-0.361000
5,True,True,-1.000000,1.000000,1.210000,-0.280000,17.010000,61.329998,-16.090000,8.309999,0.000003,0.004793,-0.003817,0.999981,-0.001800,-0.001000,-0.444700
6,True,True,-1.000000,1.000000,1.720000,-0.410000,17.010000,73.360001,-19.170000,8.309999,0.000003,0.004788,-0.005667,0.999972,-0.001700,-0.000900,-0.525800
7,True,True,-1.000000,1.000000,2.330000,-0.570000,17.010000,85.309998,-22.240000,8.309999,0.000008,0.004782,-0.007858,0.999958,-0.001500,-0.000800,-0.604300
8,True,True,-1.000000,1.000000,3.040000,-0.760000,17.010000,97.159996,-25.330000,8.309999,0.000013,0.004777,-0.010377,0.999935,-0.001400,-0.000700,-0.680300
9,True,True,-1.000000,1.000000,3.850000,-0.970000,17.010000,108.919998,-28.459999,8.309999,0.000019,0.004772,-0.013209,0.999901,-0.001200,-0.000600,-0.753800
10,True,True,-1.000000,1.000000,4.760000,-1.210000,17.010000,120.570000,-31.650000,8.309999,0.000030,0.004772,-0.016349,0.999855,-0.001000,-0.000500,-0.824800
11,True,True,-1.000000,1.000000,5.760000,-1.470000,17.010000,132.110001,-34.910000,8.309999,0.000040,0.004772,-0.019785,0.999793,-0.000800,-0.000400,-0.893500
12,True,True,-1.000000,1.000000,6.860000,-1.760000,17.010000,143.539993,-38.259998,8.309999,0.000057,0.004772,-0.023508,0.999712,-0.000600,-0.000400,-0.959700
13,True,True,-1.000000,1.000000,8.059999,-2.080000,17.010000,154.849991,-41.719997,8.309999,0.000073,0.004772,-0.027505,0.999610,-0.000500,-0.000400,-1.023500
14,True,True,-1.000000,1.000000,9.349999,-2.430000,17.010000,166.039993,-45.309998,8.309999,0.000089,0.004772,-0.031767,0.999484,-0.000400,-0.000400,-1.085100
15,True,True,-1.000000,1.000000,10.730000,-2.810000,17.010000,177.089996,-49.049999,8.309999,0.000111,0.004772,-0.036288,0.999330,-0.000200,-0.000400,-1.144400
16,True,True,-1.000000,1.000000,12.210000,-3.220000,17.010000,188.009995,-52.949997,8.309999,0.000132,0.004772,-0.041052,0.999146,-0.000100,-0.000400,-1.201600
17,True,True,-1.000000,1.000000,13.780000,-3.660000,17.010000,198.779999,-57.020000,8.309999,0.000154,0.004772,-0.046053,0.998928,0.000000,-0.000400,-1.256600
18,True,True,-1.000000,1.000000,15.440000,-4.140000,17.010000,209.399994,-61.279999,8.309999,0.000181,0.004772,-0.051280,0.998673,0.000000,-0.000400,-1.309600
19,True,True,-1.000000,1.000000,17.190001,-4.650000,17.010000,219.860001,-65.739998,8.309999,0.000208,0.004772,-0.056729,0.998378,0.000000,-0.000400,-1.360500
20,True,True,-1.000000,1.000000,19.020000,-5.200000,17.010000,230.149994,-70.400002,8.309999,0.000235,0.004766,-0.062388,0.998040,0.000000,-0.000400,-1.409600
21,True,True,-1.000000,1.000000,20.939999,-5.790000,17.010000,240.269989,-75.279999,8.309999,0.000262,0.004761,-0.068247,0.997657,0.000000,-0.000400,-1.456900
22,True,True,-1.000000,1.000000,22.939999,-6.420000,17.010000,250.209991,-80.379997,8.309999,0.000289,0.004756,-0.074300,0.997225,0.000000,-0.000400,-1.502300
23,True,True,-1.000000,1.000000,25.029999,-7.090000,17.010000,259.959991,-85.720001,8.309999,0.000321,0.004750,-0.080542,0.996740,0.000100,-0.000300,-1.545900
24,True,True,-1.000000,1.000000,27.199999,-7.800000,17.010000,269.509979,-91.309998,8.309999,0.000353,0.004745,-0.086962,0.996200,0.000100,-0.000200,-1.587700
25,True,True,-1.000000,1.000000,29.449999,-8.559999,17.010000,278.850006,-97.139999,8.309999,0.000386,0.004739,-0.093549,0.995603,0.000100,-0.000200,-1.627800
