frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.120000,0.000000,18.629999,0.000000,0.000000,8.429999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000300,0.000000
1,True,True,-1.000000,1.000000,0.120000,0.000000,18.629999,12.420000,-3.360000,8.429999,0.000003,0.003202,0.000003,0.999995,-0.000500,-0.000500,-0.081200
2,True,True,-1.000000,1.000000,0.220000,-0.030000,18.629999,24.750000,-6.630000,8.429999,0.000003,0.003202,-0.000337,0.999995,-0.000800,-0.000600,-0.161300
3,True,True,-1.000000,1.000000,0.430000,-0.090000,18.629999,36.989998,-9.820000,8.429999,0.000003,0.003202,-0.001012,0.999994,-0.001000,-0.000700,-0.240200
4,True,True,-1.000000,1.000000,0.740000,-0.170000,18.629999,49.149998,-12.950000,8.429999,0.000003,0.003196,-0.002015,0.999993,-0.001200,-0.000700,-0.317700
5,True,True,-1.000000,1.000000,1.150000,-0.280000,18.629999,61.209999,-16.039999,8.429999,0.000003,0.003191,-0.003337,0.999989,-0.001300,-0.000700,-0.394100
6,True,True,-1.000000,1.000000,1.660000,-0.410000,18.629999,73.180000,-19.109999,8.429999,0.000003,0.003186,-0.004977,0.999982,-0.001300,-0.000600,-0.468900
7,True,True,-1.000000,1.000000,2.270000,-0.570000,18.629999,85.049995,-22.170000,8.429999,0.000003,0.003186,-0.006930,0.999971,-0.001300,-0.000500,-0.542100
8,True,True,-1.000000,1.000000,2.980000,-0.750000,18.629999,96.829994,-25.230000,8.429999,0.000003,0.003186,-0.009190,0.999953,-0.001200,-0.000500,-0.613500
9,True,True,-1.000000,1.000000,3.790000,-0.960000,18.629999,108.509995,-28.320000,8.429999,0.000008,0.003186,-0.011747,0.999926,-0.001100,-0.000500,-0.683100
