frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,8.440000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000400,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,893.139954,0.000000,0.130000,78.759995,-0.500868,0.500872,-0.499126,-0.499131,0.040400,0.000000,-0.000100,0.000000,-0.010000,1045.780029,0.000000,-9.320000,143.080002,-0.000089,0.000003,0.000003,1.000000,-0.022500,0.000000,0.000000
2,False,False,1.000000,-0.100000,0.000000,3.010000,892.239990,0.000000,0.120000,73.889999,-0.500987,0.500989,-0.499007,-0.499012,0.026800,0.000000,0.000000,0.000000,-0.120000,1056.020020,0.000000,-9.309999,137.619995,-0.000181,0.000003,0.000003,1.000000,-0.022400,0.000000,0.000000
3,False,False,1.000000,-0.100000,0.000000,3.010000,892.570007,0.000000,0.110000,69.019997,-0.501025,0.501027,-0.498969,-0.498975,0.013500,0.000000,0.000000,0.000000,-0.200000,1058.579956,0.000000,-12.710000,173.899994,-0.000272,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
4,False,False,1.000000,-0.100000,0.000000,3.010000,893.099976,0.000000,0.100000,64.150002,-0.501025,0.501027,-0.498969,-0.498975,0.000500,0.000000,0.000000,0.000000,-0.310000,1059.979980,0.000000,-12.700000,168.429993,-0.000364,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
5,False,False,1.000000,-0.100000,0.000000,3.010000,893.589966,0.000000,0.090000,59.279999,-0.500998,0.501000,-0.498996,-0.499002,-0.012100,0.000000,0.000000,0.000000,-0.420000,1061.339966,0.000000,-18.490000,231.009995,-0.000456,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
6,False,False,1.000000,-0.100000,0.000000,3.010000,894.039978,0.000000,0.080000,54.410000,-0.500949,0.500952,-0.499045,-0.499050,-0.024500,0.000000,0.000000,0.000000,-0.570000,1063.219971,0.000000,-18.480000,225.529999,-0.000548,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
7,False,False,1.000000,-0.100000,0.000000,3.010000,894.449951,0.000000,0.070000,49.539997,-0.500874,0.500877,-0.499120,-0.499126,-0.036600,0.000000,0.000000,0.000000,-0.720000,1065.049927,0.000000,-18.469999,220.049988,-0.000639,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
8,False,False,1.000000,-0.100000,0.000000,3.010000,894.820007,0.000000,0.060000,44.669998,-0.500771,0.500775,-0.499223,-0.499228,-0.048400,0.000000,0.000000,0.000000,-0.870000,1066.839966,0.000000,-18.459999,214.569992,-0.000731,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
9,False,False,1.000000,-0.100000,0.000000,3.010000,895.149963,0.000000,0.050000,39.799999,-0.500647,0.500652,-0.499347,-0.499352,-0.060000,0.000000,0.000000,0.000000,-1.020000,1068.579956,0.000000,-18.449999,209.089996,-0.000823,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
10,False,False,1.000000,-0.100000,0.000000,3.010000,895.440002,0.000000,0.040000,34.930000,-0.500496,0.500501,-0.499498,-0.499503,-0.071300,0.000000,0.000000,0.000000,-1.170000,1070.280029,0.000000,-18.440001,203.619995,-0.000914,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
11,False,False,1.000000,-0.100000,0.000000,3.010000,895.690002,0.000000,0.030000,30.059999,-0.500323,0.500329,-0.499671,-0.499676,-0.082400,0.000000,0.000000,0.000000,-1.320000,1071.929932,0.000000,-18.430000,198.149994,-0.001006,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
12,False,False,1.000000,-0.100000,0.000000,3.010000,895.899963,0.000000,0.020000,25.189999,-0.500129,0.500136,-0.499865,-0.499870,-0.093300,0.000000,0.000000,0.000000,-1.470000,1073.539917,0.000000,-18.420000,192.679993,-0.001098,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
13,False,False,1.000000,-0.100000,0.000000,3.010000,896.070007,0.000000,0.010000,20.320000,0.499913,-0.499919,0.500081,0.500087,-0.103900,0.000000,0.000000,0.000000,-1.620000,1075.099976,0.000000,-18.410000,187.209991,-0.001190,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
14,False,False,1.000000,-0.100000,0.000000,3.010000,896.199951,0.000000,0.010000,15.450000,0.499676,-0.499681,0.500318,0.500324,-0.114300,0.000000,0.000000,0.000000,-1.770000,1076.609985,0.000000,-18.400000,181.739990,-0.001281,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
15,False,False,1.000000,-0.100000,0.000000,3.010000,896.289978,0.000000,0.010000,10.580000,0.499417,-0.499422,0.500577,0.500582,-0.124500,0.000000,0.000000,0.000000,-1.920000,1078.079956,0.000000,-18.389999,176.269989,-0.001373,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
16,False,False,1.000000,-0.100000,0.000000,3.010000,896.339966,0.000000,0.010000,5.710000,0.499137,-0.499142,0.500857,0.500861,-0.134500,0.000000,0.000000,0.000000,-2.070000,1079.500000,0.000000,-18.379999,170.800003,-0.001465,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
17,False,False,1.000000,-0.100000,0.000000,3.010000,896.349976,0.000000,0.010000,0.840000,0.498834,-0.498840,0.501160,0.501161,-0.144300,0.000000,0.000000,0.000000,-2.220000,1080.880005,0.000000,-18.369999,165.330002,-0.001556,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
18,False,False,1.000000,-0.100000,0.000000,3.010000,896.320007,0.000000,0.010000,-4.020000,0.498511,-0.498516,0.501478,0.501486,-0.153900,0.000000,0.000000,0.000000,-2.370000,1082.209961,0.000000,-18.359999,159.869995,-0.001648,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
19,False,False,1.000000,-0.100000,0.000000,3.010000,896.250000,0.000000,0.010000,-8.880000,0.498171,-0.498176,0.501818,0.501822,-0.163300,0.000000,0.000000,0.000000,-2.520000,1083.500000,0.000000,-18.350000,154.410004,-0.001740,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
20,False,False,1.000000,-0.100000,0.000000,3.010000,896.139954,0.000000,0.010000,-13.740000,0.497809,-0.497815,0.502174,0.502183,-0.172500,0.000000,0.000000,0.000000,-2.670000,1084.739990,0.000000,-18.340000,148.949997,-0.001832,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
21,False,False,1.000000,-0.100000,0.000000,3.010000,895.979980,0.000000,0.010000,-18.600000,0.497432,-0.497437,0.502551,0.502553,-0.181500,0.000000,0.000000,0.000000,-2.820000,1085.939941,0.000000,-18.330000,143.489990,-0.001923,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
22,True,True,1.000000,0.050000,0.000000,3.010000,895.849976,0.000000,0.100000,-15.190000,0.497070,-0.497076,0.502907,0.502912,-0.171500,0.000000,0.000000,0.000000,-2.970000,1087.089966,0.000000,-18.320000,138.029999,-0.002015,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
23,True,True,1.000000,0.050000,0.000000,3.010000,895.750000,0.000000,0.200000,-11.780000,0.496730,-0.496736,0.503242,0.503249,-0.161700,0.000000,0.000000,0.000000,-3.120000,1088.189941,0.000000,-18.309999,132.569992,-0.002107,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
24,True,True,1.000000,0.050000,0.000000,3.010000,895.679993,0.000000,0.310000,-8.370000,0.496412,-0.496418,0.503555,0.503564,-0.152100,0.000000,0.000000,0.000000,-3.270000,1089.250000,0.000000,-18.299999,127.110001,-0.002198,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
25,True,True,1.000000,0.050000,0.000000,3.010000,895.639954,0.000000,0.430000,-4.960000,0.496110,-0.496115,0.503852,0.503863,-0.142700,0.000000,0.000000,0.000000,-3.420000,1090.260010,0.000000,-18.289999,121.659996,-0.002290,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
