frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,8.440000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000400,0.000000
1,True,True,-1.000000,1.000000,0.120000,0.000000,18.639999,12.420000,-3.360000,8.440000,0.000003,0.003008,0.000003,0.999995,-0.000500,-0.000600,-0.081200
2,True,True,-1.000000,1.000000,0.220000,-0.030000,18.639999,24.750000,-6.630000,8.440000,0.000003,0.003008,-0.000337,0.999995,-0.000800,-0.000700,-0.161300
3,True,True,-1.000000,1.000000,0.430000,-0.090000,18.639999,36.989998,-9.830000,8.440000,0.000003,0.003002,-0.001012,0.999995,-0.001000,-0.000700,-0.240100
4,True,True,-1.000000,1.000000,0.740000,-0.170000,18.639999,49.139999,-12.969999,8.440000,0.000003,0.002997,-0.002010,0.999993,-0.001100,-0.000700,-0.317500
5,True,True,-1.000000,1.000000,1.150000,-0.280000,18.639999,61.199997,-16.080000,8.440000,0.000003,0.002991,-0.003331,0.999990,-0.001200,-0.000600,-0.393800
6,True,True,-1.000000,1.000000,1.660000,-0.410000,18.639999,73.169998,-19.160000,8.440000,0.000003,0.002991,-0.004971,0.999983,-0.001200,-0.000500,-0.468500
7,True,True,-1.000000,1.000000,2.270000,-0.570000,18.639999,85.040001,-22.230000,8.440000,0.000003,0.002991,-0.006924,0.999972,-0.001200,-0.000500,-0.541500
8,True,True,-1.000000,1.000000,2.980000,-0.760000,18.639999,96.820000,-25.309999,8.440000,0.000003,0.002991,-0.009179,0.999953,-0.001100,-0.000500,-0.612700
9,True,True,-1.000000,1.000000,3.790000,-0.970000,18.639999,108.500000,-28.410000,8.440000,0.000008,0.002991,-0.011731,0.999927,-0.001000,-0.000500,-0.682100
