frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,False,0.000000,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,8.440000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000400,0.000000
1,True,True,False,False,0.000000,1.000000,0.140000,0.000000,21.170000,-0.490000,0.000000,304.119995,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000300,0.000000
2,True,True,False,False,0.000000,1.000000,0.140000,0.000000,23.740000,0.100000,0.000000,308.139984,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000300,0.000000
3,True,True,False,False,0.000000,1.000000,0.140000,0.000000,26.340000,-0.050000,0.000000,312.160004,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000200,0.000000
4,True,True,False,False,0.000000,1.000000,0.140000,0.000000,28.969999,-0.010000,0.000000,316.179993,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000100,0.000000
5,True,True,False,False,0.000000,1.000000,0.140000,0.000000,31.639999,-0.020000,0.000000,320.199982,0.000003,0.003008,0.000003,0.999995,0.000000,0.000000,0.000000
6,True,True,False,False,0.000000,1.000000,0.140000,0.000000,34.340000,0.050000,0.000000,324.220001,0.000003,0.003008,0.000003,0.999995,0.000000,0.000000,0.000000
7,True,True,False,False,0.000000,1.000000,0.140000,0.000000,37.099998,0.120000,0.000000,330.949982,-0.001330,0.003008,0.000008,0.999995,-0.319500,0.000000,0.001900
8,True,True,False,False,0.000000,1.000000,0.140000,0.000000,39.910000,0.190000,0.030000,337.679993,-0.003941,0.003008,0.000013,0.999988,-0.626300,0.000000,0.003700
9,True,True,False,False,0.000000,1.000000,0.140000,0.000000,42.779999,0.260000,0.120000,344.410004,-0.007777,0.003008,0.000024,0.999965,-0.920800,0.000000,0.005400
10,True,True,False,False,0.000000,1.000000,0.140000,0.000000,45.709999,0.330000,0.300000,351.139984,-0.012794,0.003008,0.000040,0.999914,-1.203500,0.000000,0.007100
11,True,True,False,False,0.000000,1.000000,0.140000,0.010000,48.689999,0.400000,0.610000,357.869995,-0.018939,0.003008,0.000057,0.999816,-1.474900,0.000000,0.008700
12,True,True,False,False,0.000000,1.000000,0.140000,0.020000,51.730000,0.470000,1.070000,364.589996,-0.026168,0.003008,0.000078,0.999653,-1.735500,0.000000,0.010200
13,True,True,False,False,0.000000,1.000000,0.140000,0.030000,54.820000,0.540000,1.700000,371.299988,-0.034438,0.003008,0.000100,0.999402,-1.985700,0.000000,0.011700
