frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.340000,0.000000,18.330000,0.000000,0.000000,8.400000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000300,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,892.589966,0.000000,0.140000,78.759995,-0.500987,0.501006,-0.498991,-0.499012,0.041300,0.000000,-0.000400,0.000000,-0.010000,1049.069946,0.000000,-9.389999,143.080002,-0.000100,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
2,False,False,1.000000,-0.100000,0.000000,3.010000,891.579956,0.000000,0.130000,73.889999,-0.501106,0.501123,-0.498872,-0.498894,0.027700,0.000000,-0.000300,0.000000,-0.130000,1059.989990,0.000000,-9.380000,137.619995,-0.000202,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
3,False,False,1.000000,-0.100000,0.000000,3.010000,891.889954,0.000000,0.120000,69.019997,-0.501143,0.501166,-0.498829,-0.498856,0.014400,0.000000,-0.000200,0.000000,-0.220000,1062.679932,0.000000,-12.690000,173.910004,-0.000305,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
4,False,False,1.000000,-0.100000,0.000000,3.010000,892.419983,0.000000,0.110000,64.150002,-0.501143,0.501177,-0.498824,-0.498851,0.001400,0.000000,-0.000100,0.000000,-0.330000,1064.079956,0.000000,-12.679999,168.440002,-0.000407,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
5,False,False,1.000000,-0.100000,0.000000,3.010000,892.909973,0.000000,0.100000,59.279999,-0.501122,0.501155,-0.498845,-0.498872,-0.011200,0.000000,0.000000,0.000000,-0.440000,1065.439941,0.000000,-18.320000,231.039993,-0.000510,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
6,False,False,1.000000,-0.100000,0.000000,3.010000,893.359985,0.000000,0.090000,54.410000,-0.501073,0.501107,-0.498894,-0.498921,-0.023600,0.000000,0.000000,0.000000,-0.590000,1067.319946,0.000000,-18.309999,225.559998,-0.000612,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
7,False,False,1.000000,-0.100000,0.000000,3.010000,893.769958,0.000000,0.080000,49.539997,-0.500998,0.501032,-0.498969,-0.498996,-0.035700,0.000000,0.000000,0.000000,-0.740000,1069.150024,0.000000,-18.299999,220.080002,-0.000715,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
8,False,False,1.000000,-0.100000,0.000000,3.010000,894.139954,0.000000,0.070000,44.669998,-0.500901,0.500936,-0.499066,-0.499093,-0.047600,0.000000,0.000000,0.000000,-0.890000,1070.939941,0.000000,-18.289999,214.599991,-0.000817,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
9,False,False,1.000000,-0.100000,0.000000,3.010000,894.469971,0.000000,0.060000,39.799999,-0.500777,0.500813,-0.499190,-0.499217,-0.059200,0.000000,0.000000,0.000000,-1.040000,1072.679932,0.000000,-18.279999,209.119995,-0.000920,0.000003,0.000003,1.000000,-0.024500,0.000000,0.000000
10,False,False,1.000000,-0.100000,0.000000,3.010000,894.760010,0.000000,0.050000,34.930000,-0.500631,0.500668,-0.499336,-0.499363,-0.070600,0.000000,0.000000,0.000000,-1.190000,1074.380005,0.000000,-18.270000,203.649994,-0.001022,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
11,False,False,1.000000,-0.100000,0.000000,3.010000,895.010010,0.000000,0.040000,30.059999,-0.500458,0.500496,-0.499509,-0.499536,-0.081700,0.000000,0.000000,0.000000,-1.340000,1076.030029,0.000000,-18.260000,198.179993,-0.001125,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
12,False,False,1.000000,-0.100000,0.000000,3.010000,895.219971,0.000000,0.030000,25.189999,-0.500264,0.500302,-0.499703,-0.499730,-0.092600,0.000000,0.000000,0.000000,-1.490000,1077.640015,0.000000,-18.250000,192.709991,-0.001227,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
13,False,False,1.000000,-0.100000,0.000000,3.010000,895.389954,0.000000,0.020000,20.320000,-0.500048,0.500087,-0.499919,-0.499946,-0.103300,0.000000,0.000000,0.000000,-1.640000,1079.199951,0.000000,-18.240000,187.239990,-0.001330,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
14,False,False,1.000000,-0.100000,0.000000,3.010000,895.519958,0.000000,0.010000,15.450000,0.499811,-0.499849,0.500156,0.500184,-0.113700,0.000000,0.000000,0.000000,-1.790000,1080.709961,0.000000,-18.230000,181.769989,-0.001432,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
15,False,False,1.000000,-0.100000,0.000000,3.010000,895.609985,0.000000,0.010000,10.580000,0.499552,-0.499590,0.500415,0.500442,-0.123900,0.000000,0.000000,0.000000,-1.940000,1082.179932,0.000000,-18.219999,176.300003,-0.001535,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
16,False,False,1.000000,-0.100000,0.000000,3.010000,895.659973,0.000000,0.010000,5.710000,0.499271,-0.499309,0.500696,0.500722,-0.133900,0.000000,0.000000,0.000000,-2.090000,1083.599976,0.000000,-18.209999,170.830002,-0.001637,0.000003,0.000003,0.999999,-0.024500,0.000000,0.000000
17,False,False,1.000000,-0.100000,0.000000,3.010000,895.669983,0.000000,0.010000,0.840000,0.498969,-0.499007,0.500992,0.501027,-0.143700,0.000000,0.000000,0.000000,-2.240000,1084.979980,0.000000,-18.199999,165.360001,-0.001740,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
18,False,False,1.000000,-0.100000,0.000000,3.010000,895.639954,0.000000,0.010000,-4.020000,0.498651,-0.498689,0.501311,0.501342,-0.153300,0.000000,0.000000,0.000000,-2.390000,1086.309937,0.000000,-18.190001,159.899994,-0.001842,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
19,False,False,1.000000,-0.100000,0.000000,3.010000,895.570007,0.000000,0.010000,-8.880000,0.498311,-0.498349,0.501651,0.501678,-0.162700,0.000000,0.000000,0.000000,-2.540000,1087.599976,0.000000,-18.180000,154.440002,-0.001945,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
20,False,False,1.000000,-0.100000,0.000000,3.010000,895.459961,0.000000,0.010000,-13.740000,0.497950,-0.497987,0.502007,0.502040,-0.171900,0.000000,0.000000,0.000000,-2.690000,1088.839966,0.000000,-18.170000,148.979996,-0.002047,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
21,False,False,1.000000,-0.100000,0.000000,3.010000,895.309998,0.000000,0.010000,-18.600000,0.497572,-0.497610,0.502384,0.502411,-0.180900,0.000000,0.000000,0.000000,-2.840000,1090.039917,0.000000,-18.160000,143.520004,-0.002150,0.000003,0.000003,0.999998,-0.024500,0.000000,0.000000
22,True,True,1.000000,0.050000,0.000000,3.010000,895.179993,0.000000,0.090000,-15.190000,0.497216,-0.497254,0.502740,0.502759,-0.170900,0.000000,0.000000,0.000000,-2.990000,1091.189941,0.000000,-18.150000,138.059998,-0.002252,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
23,True,True,1.000000,0.050000,0.000000,3.010000,895.079956,0.000000,0.180000,-11.780000,0.496876,-0.496914,0.503075,0.503097,-0.161100,0.000000,0.000000,0.000000,-3.140000,1092.289917,0.000000,-18.139999,132.599991,-0.002355,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
24,True,True,1.000000,0.050000,0.000000,3.010000,895.010010,0.000000,0.280000,-8.370000,0.496558,-0.496596,0.503388,0.503412,-0.151500,0.000000,0.000000,0.000000,-3.290000,1093.349976,0.000000,-18.129999,127.139999,-0.002457,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
25,True,True,1.000000,0.050000,0.000000,3.010000,894.969971,0.000000,0.400000,-4.960000,0.496261,-0.496299,0.503684,0.503701,-0.142100,0.000000,0.000000,0.000000,-3.440000,1094.359985,0.000000,-18.119999,121.689995,-0.002560,0.000003,0.000003,0.999997,-0.024500,0.000000,0.000000
26,True,True,1.000000,0.050000,0.000000,3.010000,894.959961,0.000000,0.530000,-1.550000,0.495981,-0.496018,0.503959,0.503978,-0.132900,0.000000,0.000000,0.000000,-3.590000,1095.329956,0.000000,-18.109999,116.239998,-0.002662,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
27,True,True,1.000000,0.050000,0.000000,3.010000,894.909973,0.000000,0.530000,-6.410000,0.495722,-0.495759,0.504213,0.504234,-0.124000,0.000000,0.000000,0.000000,-3.740000,1096.250000,0.000000,-18.100000,110.790001,-0.002765,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
28,True,True,1.000000,0.050000,0.000000,3.010000,894.820007,0.000000,0.530000,-11.270000,0.495479,-0.495517,0.504450,0.504474,-0.115300,0.000000,0.000000,0.000000,-3.890000,1097.130005,0.000000,-18.090000,105.339996,-0.002867,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
29,True,True,1.000000,0.050000,0.000000,3.010000,894.690002,0.000000,0.530000,-16.129999,0.495252,-0.495290,0.504672,0.504697,-0.106800,0.000000,0.000000,0.000000,-4.040000,1097.959961,0.000000,-18.080000,99.889999,-0.002970,0.000003,0.000003,0.999996,-0.024500,0.000000,0.000000
30,True,True,1.000000,0.050000,0.000000,3.010000,894.519958,0.000000,0.540000,-20.990000,0.495047,-0.495085,0.504877,0.504895,-0.098400,0.000000,0.000000,0.000000,-4.190000,1098.750000,0.000000,-18.070000,94.439995,-0.003072,0.000003,0.000003,0.999995,-0.024500,0.000000,0.000000
31,True,True,1.000000,0.050000,0.000000,3.010000,894.299988,0.000000,0.550000,-25.849998,0.494858,-0.494896,0.505065,0.505076,-0.090200,0.000000,0.000000,0.000000,-4.340000,1099.489990,0.000000,-18.059999,88.989998,-0.003175,0.000003,0.000003,0.999995,-0.024500,0.000000,0.000000
32,True,True,1.000000,0.050000,0.000000,3.010000,894.039978,0.000000,0.560000,-30.709999,0.494686,-0.494724,0.505233,0.505247,-0.082200,0.000000,0.000000,0.000000,-4.490000,1100.189941,0.000000,-18.049999,83.549995,-0.003277,0.000003,0.000003,0.999995,-0.024500,0.000000,0.000000
33,True,True,1.000000,0.050000,0.000000,3.010000,893.739990,0.000000,0.570000,-35.570000,0.494529,-0.494567,0.505384,0.505402,-0.074400,0.000000,0.000000,0.000000,-4.640000,1100.839966,0.000000,-18.039999,78.110001,-0.003380,0.000003,0.000003,0.999994,-0.024500,0.000000,0.000000
34,True,True,1.000000,0.050000,0.000000,3.010000,893.399963,0.000000,0.580000,-40.430000,0.494389,-0.494427,0.505524,0.505536,-0.066800,0.000000,0.000000,0.000000,-4.790000,1101.449951,0.000000,-18.029999,72.669998,-0.003482,0.000003,0.000003,0.999994,-0.024500,0.000000,0.000000
35,True,True,1.000000,0.050000,0.000000,3.010000,893.019958,0.000000,0.590000,-45.289997,0.494265,-0.494303,0.505648,0.505655,-0.059400,0.000000,0.000000,0.000000,-4.940000,1102.010010,0.000000,-18.020000,67.229996,-0.003585,0.000003,0.000003,0.999994,-0.024500,0.000000,0.000000
36,True,True,1.000000,0.050000,0.000000,3.020000,892.599976,0.000000,0.600000,-50.149998,0.494157,-0.494195,0.505756,0.505758,-0.052100,0.000000,0.000000,0.000000,-5.090000,1102.520020,0.000000,-18.010000,61.789997,-0.003687,0.000003,0.000003,0.999993,-0.024500,0.000000,0.000000
37,True,True,1.000000,0.050000,0.000000,3.030000,892.139954,0.000000,0.610000,-55.009998,0.494060,-0.494098,0.505848,0.505856,-0.045000,0.000000,0.000000,0.000000,-5.240000,1102.989990,0.000000,-18.000000,56.349998,-0.003790,0.000003,0.000003,0.999993,-0.024500,0.000000,0.000000
38,True,True,1.000000,0.050000,0.000000,3.040000,891.639954,0.000000,0.620000,-59.869999,0.493979,-0.494017,0.505929,0.505933,-0.038000,0.000000,0.000000,0.000000,-5.390000,1103.410034,0.000000,-17.990000,50.910000,-0.003892,0.000003,0.000003,0.999992,-0.024500,0.000000,0.000000
39,True,True,1.000000,0.050000,0.000000,3.050000,891.099976,0.000000,0.630000,-64.729996,0.493914,-0.493952,0.505993,0.505995,-0.031200,0.000000,0.000000,0.000000,-5.540000,1103.789917,0.000000,-17.980000,45.480000,-0.003995,0.000003,0.000003,0.999992,-0.024500,0.000000,0.000000
40,True,True,1.000000,0.050000,0.000000,3.060000,890.519958,0.000000,0.640000,-69.589996,0.493860,-0.493898,0.506042,0.506051,-0.024600,0.000000,0.000000,0.000000,-5.690000,1104.119995,0.000000,-17.969999,40.049999,-0.004097,0.000003,0.000003,0.999992,-0.024500,0.000000,0.000000
41,True,True,1.000000,0.050000,0.000000,3.070000,889.899963,0.000000,0.650000,-74.449997,0.493823,-0.493860,0.506080,0.506087,-0.018100,0.000000,0.000000,0.000000,-5.840000,1104.410034,0.000000,-17.959999,34.619999,-0.004200,0.000003,0.000003,0.999991,-0.024500,0.000000,0.000000
42,True,True,1.000000,0.050000,0.000000,3.080000,889.239990,0.000000,0.660000,-79.309998,0.493796,-0.493833,0.506101,0.506118,-0.011800,0.000000,0.000000,0.000000,-5.990000,1104.650024,0.000000,-17.949999,29.189999,-0.004302,0.000003,0.000003,0.999991,-0.024500,0.000000,0.000000
43,True,True,1.000000,0.050000,0.000000,3.090000,888.539978,0.000000,0.670000,-84.169998,0.493785,-0.493823,0.506112,0.506129,-0.005600,0.000000,0.000000,0.000000,-6.140000,1104.849976,0.000000,-17.940001,23.760000,-0.004405,0.000003,0.000003,0.999990,-0.024500,0.000000,0.000000
