frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.340000,0.000000,18.330000,0.000000,0.000000,8.400000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000300,0.000000
1,True,True,-1.000000,1.000000,0.340000,0.000000,18.330000,12.410000,-3.380000,8.400000,0.000003,0.008548,0.000003,0.999963,-0.001400,-0.000900,-0.084100
2,True,True,-1.000000,1.000000,0.440000,-0.030000,18.330000,24.740000,-6.670000,8.400000,-0.000003,0.008543,-0.000348,0.999963,-0.002000,-0.001200,-0.166600
3,True,True,-1.000000,1.000000,0.650000,-0.090000,18.330000,36.989998,-9.880000,8.400000,-0.000003,0.008537,-0.001044,0.999963,-0.002100,-0.001400,-0.247300
4,True,True,-1.000000,1.000000,0.960000,-0.170000,18.330000,49.160000,-13.030000,8.400000,-0.000003,0.008532,-0.002074,0.999961,-0.002100,-0.001400,-0.326200
5,True,True,-1.000000,1.000000,1.370000,-0.280000,18.330000,61.230000,-16.160000,8.400000,0.000003,0.008526,-0.003434,0.999958,-0.001900,-0.001400,-0.403600
6,True,True,-1.000000,1.000000,1.880000,-0.410000,18.330000,73.220001,-19.260000,8.400000,0.000008,0.008521,-0.005117,0.999951,-0.001800,-0.001300,-0.479100
7,True,True,-1.000000,1.000000,2.490000,-0.570000,18.330000,85.110001,-22.350000,8.400000,0.000019,0.008516,-0.007113,0.999938,-0.001600,-0.001200,-0.552700
8,True,True,-1.000000,1.000000,3.200000,-0.760000,18.330000,96.909996,-25.449999,8.400000,0.000030,0.008510,-0.009417,0.999919,-0.001400,-0.001100,-0.624400
9,True,True,-1.000000,1.000000,4.010000,-0.970000,18.330000,108.619995,-28.570000,8.400000,0.000046,0.008505,-0.012017,0.999892,-0.001100,-0.001000,-0.693900
10,True,True,-1.000000,1.000000,4.920000,-1.210000,18.330000,120.219994,-31.740000,8.400000,0.000067,0.008500,-0.014909,0.999853,-0.000900,-0.000900,-0.761500
11,True,True,-1.000000,1.000000,5.920000,-1.470000,18.330000,131.720001,-34.980000,8.400000,0.000089,0.008494,-0.018081,0.999800,-0.000700,-0.000800,-0.827100
12,True,True,-1.000000,1.000000,7.020000,-1.760000,18.330000,143.110001,-38.299999,8.400000,0.000116,0.008489,-0.021528,0.999732,-0.000600,-0.000700,-0.890700
13,True,True,-1.000000,1.000000,8.210000,-2.080000,18.330000,154.379990,-41.709999,8.400000,0.000143,0.008483,-0.025240,0.999645,-0.000500,-0.000600,-0.952300
14,True,True,-1.000000,1.000000,9.500000,-2.430000,18.330000,165.529999,-45.239998,8.400000,0.000175,0.008478,-0.029205,0.999537,-0.000300,-0.000500,-1.012000
15,True,True,-1.000000,1.000000,10.880000,-2.810000,18.330000,176.550003,-48.899998,8.400000,0.000208,0.008473,-0.033418,0.999405,-0.000200,-0.000400,-1.069800
16,True,True,-1.000000,1.000000,12.349999,-3.220000,18.330000,187.440002,-52.699997,8.400000,0.000245,0.008473,-0.037874,0.999246,-0.000100,-0.000300,-1.125600
17,True,True,-1.000000,1.000000,13.910000,-3.660000,18.330000,198.190002,-56.660000,8.400000,0.000283,0.008473,-0.042562,0.999058,0.000000,-0.000300,-1.179500
18,True,True,-1.000000,1.000000,15.559999,-4.130000,18.330000,208.799988,-60.789997,8.400000,0.000326,0.008467,-0.047472,0.998837,0.000000,-0.000300,-1.231600
19,True,True,-1.000000,1.000000,17.299999,-4.640000,18.330000,219.259995,-65.099998,8.400000,0.000370,0.008462,-0.052597,0.998580,0.000000,-0.000200,-1.281800
20,True,True,-1.000000,1.000000,19.129999,-5.180000,18.330000,229.559998,-69.610001,8.400000,0.000413,0.008456,-0.057927,0.998285,0.000100,-0.000100,-1.330200
21,True,True,-1.000000,1.000000,21.039999,-5.760000,18.330000,239.699997,-74.309998,8.400000,0.000461,0.008451,-0.063457,0.997949,0.000200,-0.000100,-1.377000
22,True,True,-1.000000,1.000000,23.039999,-6.380000,18.330000,249.669998,-79.220001,8.400000,0.000510,0.008446,-0.069180,0.997568,0.000200,0.000000,-1.422100
23,True,True,-1.000000,1.000000,25.119999,-7.040000,18.330000,259.459991,-84.349998,8.400000,0.000558,0.008440,-0.075088,0.997141,0.000200,0.000000,-1.465500
24,True,True,-1.000000,1.000000,27.279999,-7.740000,18.330000,269.059998,-89.709999,8.400000,0.000612,0.008435,-0.081173,0.996664,0.000300,0.000000,-1.507300
25,True,True,-1.000000,1.000000,29.519999,-8.490000,18.330000,278.470001,-95.299995,8.400000,0.000666,0.008429,-0.087431,0.996135,0.000300,0.000000,-1.547500
26,True,True,-1.000000,1.000000,31.840000,-9.280000,18.330000,287.679993,-101.129997,8.400000,0.000720,0.008424,-0.093851,0.995550,0.000300,0.000000,-1.586100
27,True,True,-1.000000,1.000000,34.239998,-10.120000,18.330000,296.679993,-107.199997,8.400000,0.000780,0.008419,-0.100427,0.994908,0.000400,0.000000,-1.623100
28,True,True,-1.000000,1.000000,36.709999,-11.010000,18.330000,305.459991,-113.519997,8.400000,0.000839,0.008413,-0.107155,0.994206,0.000400,0.000000,-1.658700
29,True,True,-1.000000,1.000000,39.259998,-11.960000,18.330000,314.019989,-120.089996,8.400000,0.000898,0.008408,-0.114022,0.993442,0.000400,0.000000,-1.692800
30,True,True,-1.000000,1.000000,41.879997,-12.960000,18.330000,322.350006,-126.919998,8.400000,0.000958,0.008402,-0.121025,0.992613,0.000400,0.000000,-1.725500
31,True,True,-1.000000,1.000000,44.570000,-14.020000,18.330000,330.440002,-134.000000,8.400000,0.001022,0.008397,-0.128157,0.991718,0.000400,0.000000,-1.756800
32,True,True,-1.000000,1.000000,47.320000,-15.139999,18.330000,338.279999,-141.330002,8.410000,0.001087,0.008392,-0.135413,0.990753,0.000400,0.000000,-1.786700
33,True,True,-1.000000,1.000000,50.139999,-16.320000,18.330000,345.859985,-148.919998,8.410000,0.001152,0.008386,-0.142782,0.989718,0.000400,0.000000,-1.815300
34,True,True,-1.000000,1.000000,53.020000,-17.559999,18.330000,353.179993,-156.759995,8.410000,0.001217,0.008375,-0.150265,0.988610,0.000400,0.000000,-1.842600
35,True,True,-1.000000,1.000000,55.959999,-18.869999,18.330000,360.229980,-164.849991,8.410000,0.001281,0.008365,-0.157850,0.987427,0.000400,0.000000,-1.868700
36,True,True,-1.000000,1.000000,58.959999,-20.240000,18.330000,367.000000,-173.190002,8.410000,0.001346,0.008354,-0.165532,0.986168,0.000400,0.000000,-1.893500
37,True,True,-1.000000,1.000000,62.020000,-21.680000,18.330000,373.479980,-181.769989,8.410000,0.001416,0.008343,-0.173306,0.984832,0.000400,0.000000,-1.917200
38,True,True,-1.000000,1.000000,65.129997,-23.189999,18.330000,379.669983,-190.599991,8.410000,0.001486,0.008332,-0.181166,0.983416,0.000400,0.000000,-1.939700
39,True,True,-1.000000,1.000000,68.290001,-24.779999,18.330000,385.559998,-199.659988,8.410000,0.001556,0.008321,-0.189107,0.981920,0.000300,0.000000,-1.961100
40,True,True,-1.000000,1.000000,71.500000,-26.439999,18.330000,391.139984,-208.949997,8.410000,0.001627,0.008311,-0.197124,0.980342,0.000300,0.000000,-1.981400
41,True,True,-1.000000,1.000000,74.760002,-28.180000,18.330000,396.399994,-218.470001,8.420000,0.001697,0.008300,-0.205211,0.978681,0.000300,-0.000100,-2.000600
42,True,True,-1.000000,1.000000,78.059998,-30.000000,18.330000,401.339996,-228.209991,8.420000,0.001767,0.008284,-0.213362,0.976936,0.000200,-0.000100,-2.018800
43,True,True,-1.000000,1.000000,81.400002,-31.900000,18.330000,405.949982,-238.159988,8.420000,0.001837,0.008268,-0.221573,0.975107,0.000200,-0.000100,-2.036000
44,True,True,-1.000000,1.000000,84.779999,-33.880001,18.330000,410.229980,-248.319992,8.420000,0.001907,0.008251,-0.229838,0.973192,0.000200,-0.000100,-2.052200
45,True,True,-1.000000,1.000000,88.199997,-35.950001,18.330000,414.169983,-258.669983,8.420000,0.001977,0.008235,-0.238152,0.971191,0.000200,-0.000100,-2.067400
46,True,True,-1.000000,1.000000,91.650002,-38.110001,18.330000,417.759979,-269.209991,8.420000,0.002047,0.008219,-0.246508,0.969104,0.000200,-0.000200,-2.081700
47,True,True,-1.000000,1.000000,95.129997,-40.349998,18.330000,421.000000,-279.929993,8.420000,0.002117,0.008203,-0.254902,0.966930,0.000300,-0.000200,-2.095100
48,True,True,-1.000000,1.000000,98.639999,-42.680000,18.330000,423.859985,-290.850006,8.420000,0.002193,0.008181,-0.263334,0.964667,0.000300,-0.000300,-2.108300
49,True,True,-1.000000,1.000000,102.169998,-45.099998,18.330000,426.319977,-301.959991,8.420000,0.002269,0.008160,-0.271799,0.962317,0.000300,-0.000300,-2.121700
50,True,True,-1.000000,1.000000,105.720001,-47.619999,18.330000,428.380005,-313.250000,8.429999,0.002344,0.008138,-0.280296,0.959876,0.000200,-0.000200,-2.135300
