frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-2000.000000,-4499.659668,17.049999,0.000000,0.000000,8.360000,-0.005948,0.005953,0.707089,0.707074,0.000500,0.000000,0.000000
1,True,True,0.000000,1.000000,-2000.000000,-4499.589844,17.049999,0.000000,21.520000,8.270000,-0.005948,0.005953,0.707089,0.707074,0.001600,0.000000,0.000000
2,True,True,0.000000,1.000000,-2000.000000,-4499.339844,17.049999,0.000000,42.860001,8.210000,-0.005942,0.005948,0.707089,0.707074,0.002300,0.000000,0.000000
3,True,True,0.000000,1.000000,-2000.000000,-4498.909668,17.049999,0.000000,64.010002,8.170000,-0.005937,0.005942,0.707089,0.707074,0.002800,0.000000,0.000000
4,True,True,0.000000,1.000000,-2000.000000,-4498.310059,17.049999,0.000000,84.979996,8.139999,-0.005926,0.005932,0.707089,0.707074,0.003100,0.000000,0.000000
5,True,True,0.000000,1.000000,-2000.000000,-4497.529785,17.049999,0.000000,105.769997,8.110000,-0.005915,0.005921,0.707090,0.707074,0.003100,0.000000,0.000000
6,True,True,0.000000,1.000000,-2000.000000,-4496.580078,17.049999,0.000000,126.379997,8.090000,-0.005905,0.005910,0.707090,0.707074,0.003000,0.000000,0.000000
7,True,True,0.000000,1.000000,-2000.000000,-4495.459961,17.049999,0.000000,146.819992,8.080000,-0.005894,0.005899,0.707090,0.707074,0.002800,0.000000,0.000000
8,True,True,0.000000,1.000000,-2000.000000,-4494.169922,17.049999,0.000000,167.080002,8.070000,-0.005883,0.005888,0.707090,0.707074,0.002500,0.000000,0.000000
9,True,True,0.000000,1.000000,-2000.000000,-4492.709961,17.049999,0.000000,187.169998,8.059999,-0.005878,0.005883,0.707090,0.707074,0.002100,0.000000,0.000000
10,True,True,0.000000,1.000000,-2000.000000,-4491.080078,17.049999,0.000000,207.089996,8.059999,-0.005872,0.005878,0.707090,0.707074,0.001700,0.000000,0.000000
11,True,True,0.000000,1.000000,-2000.000000,-4489.290039,17.049999,0.000000,226.839996,8.059999,-0.005867,0.005872,0.707090,0.707074,0.001400,0.000000,0.000000
12,True,True,0.000000,1.000000,-2000.000000,-4487.330078,17.049999,0.000000,246.419998,8.059999,-0.005861,0.005867,0.707090,0.707074,0.001100,0.000000,0.000000
13,True,True,0.000000,1.000000,-2000.000000,-4485.209961,17.049999,0.000000,265.829987,8.059999,-0.005856,0.005861,0.707091,0.707074,0.000800,0.000000,0.000000
14,True,True,0.000000,1.000000,-2000.000000,-4482.929688,17.049999,0.000000,285.070007,8.059999,-0.005856,0.005861,0.707091,0.707074,0.000500,0.000000,0.000000
