frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
1,True,True,-1.000000,1.000000,0.180000,0.000000,17.000000,12.400000,-3.380000,8.410000,0.000003,0.004799,0.000003,0.999988,-0.000800,-0.000700,-0.087000
2,True,True,-1.000000,1.000000,0.280000,-0.030000,17.000000,24.730000,-6.660000,8.410000,0.000003,0.004793,-0.000359,0.999988,-0.001300,-0.000900,-0.172200
3,True,True,-1.000000,1.000000,0.490000,-0.090000,17.000000,36.980000,-9.849999,8.410000,0.000003,0.004788,-0.001076,0.999988,-0.001500,-0.001000,-0.255500
4,True,True,-1.000000,1.000000,0.800000,-0.170000,17.000000,49.160000,-12.969999,8.410000,0.000003,0.004782,-0.002139,0.999986,-0.001600,-0.001000,-0.336800
5,True,True,-1.000000,1.000000,1.210000,-0.280000,17.000000,61.239998,-16.049999,8.410000,0.000003,0.004777,-0.003542,0.999982,-0.001600,-0.001000,-0.416600
6,True,True,-1.000000,1.000000,1.720000,-0.410000,17.000000,73.239998,-19.100000,8.410000,0.000003,0.004772,-0.005279,0.999975,-0.001500,-0.000900,-0.494400
7,True,True,-1.000000,1.000000,2.330000,-0.570000,17.000000,85.150002,-22.150000,8.410000,0.000008,0.004766,-0.007340,0.999962,-0.001400,-0.000800,-0.570200
8,True,True,-1.000000,1.000000,3.040000,-0.750000,17.000000,96.959999,-25.209999,8.410000,0.000013,0.004761,-0.009713,0.999941,-0.001200,-0.000700,-0.643900
9,True,True,-1.000000,1.000000,3.850000,-0.960000,17.000000,108.680000,-28.299999,8.410000,0.000019,0.004756,-0.012395,0.999912,-0.001100,-0.000600,-0.715600
10,True,True,-1.000000,1.000000,4.760000,-1.200000,17.000000,120.299995,-31.429998,8.410000,0.000030,0.004756,-0.015378,0.999870,-0.000900,-0.000500,-0.785100
11,True,True,-1.000000,1.000000,5.760000,-1.460000,17.000000,131.809998,-34.630001,8.410000,0.000040,0.004756,-0.018647,0.999815,-0.000700,-0.000400,-0.852500
12,True,True,-1.000000,1.000000,6.860000,-1.750000,17.000000,143.209991,-37.919998,8.410000,0.000057,0.004756,-0.022197,0.999742,-0.000600,-0.000400,-0.917800
